Node Index	Parent Node Index
1			0
2			1
3			1
4			2
5			2
6			3
7			3
8			4
9			4
10			5
11			5
12			5
13			5
14			6
15			6
16			6
17			6
18			7
19			7
20			8
21			8
22			9
23			9
24			9
25			10
26			10
27			10
28			11
29			11
30			11
31			12
32			12
33			13
34			13
35			13
36			14
37			14
38			15
39			15
40			15
41			16
42			16
43			16
44			17
45			17
46			17
47			18
48			18
49			18
50			19
51			19
52			20
53			20
54			21
55			21
56			21
57			21
58			22
59			22
60			22
61			22
62			23
63			23
64			24
65			24
66			25
67			25
68			25
69			25
70			26
71			26
72			27
73			27
74			28
75			28
76			28
77			28
78			29
79			29
80			30
81			30
82			31
83			31
84			32
85			32
86			32
87			32
88			33
89			33
90			34
91			34
92			35
93			35
94			35
95			35
96			36
97			36
98			36
99			36
100			37
101			37
102			38
103			38
104			38
105			38
106			39
107			39
108			40
109			40
110			41
111			41
112			42
113			42
114			43
115			43
116			43
117			43
118			44
119			44
120			45
121			45
122			46
123			46
124			46
125			46
126			47
127			47
128			48
129			48
130			49
131			49
132			49
133			49
134			50
135			50
136			50
137			50
138			51
139			51
140			52
141			52
142			53
143			53
144			53
145			54
146			54
147			54
148			55
149			55
150			55
151			56
152			56
153			57
154			57
155			57
156			58
157			58
158			58
159			59
160			59
161			59
162			60
163			60
164			60
165			61
166			61
167			61
168			62
169			62
170			63
171			63
172			63
173			64
174			64
175			64
176			65
177			65
178			65
179			66
180			66
181			66
182			67
183			67
184			67
185			68
186			68
187			69
188			69
189			69
190			70
191			70
192			70
193			71
194			71
195			71
196			72
197			72
198			72
199			73
200			73
201			73
202			74
203			74
204			74
205			75
206			75
207			75
208			76
209			76
210			77
211			77
212			77
213			78
214			78
215			78
216			79
217			79
218			79
219			80
220			80
221			80
222			81
223			81
224			81
225			82
226			82
227			83
228			83
229			83
230			84
231			84
232			84
233			85
234			85
235			85
236			86
237			86
238			87
239			87
240			87
241			88
242			88
243			88
244			89
245			89
246			89
247			90
248			90
249			90
250			91
251			91
252			91
253			92
254			92
255			92
256			93
257			93
258			93
259			94
260			94
261			95
262			95
263			95
264			96
265			96
266			97
267			97
268			97
269			98
270			98
271			98
272			99
273			99
274			99
275			100
276			100
277			100
278			101
279			101
280			102
281			102
282			103
283			103
284			103
285			104
286			104
287			104
288			105
289			105
290			105
291			106
292			106
293			106
294			107
295			107
296			107
297			108
298			108
299			108
300			109
301			109
302			109
303			110
304			110
305			110
306			111
307			111
308			111
309			112
310			112
311			112
312			113
313			113
314			113
315			114
316			114
317			115
318			115
319			115
320			116
321			116
322			116
323			117
324			117
325			117
326			118
327			118
328			118
329			119
330			119
331			119
332			120
333			120
334			120
335			121
336			121
337			121
338			122
339			122
340			123
341			123
342			123
343			124
344			124
345			124
346			125
347			125
348			125
349			126
350			126
351			126
352			127
353			127
354			128
355			128
356			128
357			129
358			129
359			129
360			130
361			130
362			130
363			131
364			131
